epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.679,1.62238,9.87854,1.57814,0.5,1,0.745,0.46563,2.05424,5.63,1.6315,0.00010002,0.00010002,0.00010002
2,299.817,1.4227,8.86257,1.38899,0.1,0.5,0.5205,0.3123,1.48293,5.51313,1.31598,0.000205983,0.000205983,0.000205983
3,443.688,1.16262,7.50394,1.1304,0.04878,1,0.995,0.72162,0.93025,4.71087,1.04077,0.000300393,0.000300393,0.000300393
4,590.454,1.0979,7.08986,1.09962,0.05405,1,0.995,0.74757,0.99998,4.48532,0.98803,0.000383252,0.000383252,0.000383252
5,736.888,1.10635,6.72412,1.12616,0.00913,1,0.995,0.74612,0.96501,4.4969,1.03233,0.000454558,0.000454558,0.000454558
6,883.216,1.12944,6.74149,1.16886,0.00971,1,0.995,0.6965,1.22774,4.30861,1.16067,0.000514311,0.000514311,0.000514311
7,1103.59,1.12805,6.0152,1.11268,0.0093,1,0.995,0.6965,1.13088,3.77234,1.019,0.000562512,0.000562512,0.000562512
8,1249.54,1.05643,5.25572,1.02784,0.67475,1,0.995,0.84533,0.67786,3.52403,0.89086,0.000599161,0.000599161,0.000599161
9,1413.61,1.05089,5.81257,1.10422,0.84722,1,0.995,0.84565,0.62208,3.47019,0.88274,0.000624258,0.000624258,0.000624258
10,1561.76,0.99783,4.94989,1.02931,0.93111,1,0.995,0.8955,0.65699,3.08723,0.86056,0.000637803,0.000637803,0.000637803
11,1726.82,0.99195,8.31357,1.08278,0.87719,1,0.995,0.8955,0.62786,2.93485,0.82239,0.000639795,0.000639795,0.000639795
12,1878.24,0.96694,8.57595,1.08502,0.97459,1,0.995,0.82085,0.58533,2.04344,0.78471,0.000630234,0.000630234,0.000630234
13,2030.01,0.97222,7.71267,1.10551,0.9792,1,0.995,0.796,0.7923,1.99535,0.92379,0.000609122,0.000609122,0.000609122
14,2181.03,0.97046,7.30765,1.08274,0.98144,1,0.995,0.8955,0.67799,1.81979,0.85802,0.000576457,0.000576457,0.000576457
15,2336.72,0.88237,7.18765,1.03602,0.97975,1,0.995,0.8955,0.66424,2.05557,0.87519,0.000511769,0.000511769,0.000511769
16,2480.27,0.88429,6.98622,1.05459,0.9814,1,0.995,0.82083,0.75519,1.93583,0.89362,0.000429253,0.000429253,0.000429253
17,2625.41,0.89183,6.69869,1.06469,0.98205,1,0.995,0.82084,0.77017,1.82765,0.89875,0.000346736,0.000346736,0.000346736
18,2768.3,0.89056,6.60108,1.04607,0.98192,1,0.995,0.84568,0.73093,1.7074,0.8584,0.00026422,0.00026422,0.00026422
19,2946.43,0.84255,6.44557,0.99694,0.98115,1,0.995,0.82085,0.69019,1.58298,0.83053,0.000181703,0.000181703,0.000181703
20,3130.36,0.81491,6.38347,1.03368,0.98085,1,0.995,0.82085,0.73737,1.53996,0.8509,9.91865e-05,9.91865e-05,9.91865e-05
